"Sample"	"log_rte"	"l_utr3"
"Untr"	-5.21186420446882	383
"Untr"	-1.82312223791593	1150
"Untr"	-4.84061737618935	7444
"Untr"	-4.20817855482219	375
"Untr"	-5.1992751731921	183
"Untr"	-1.74905769864298	3628
"Untr"	-6.23599001847952	2063
"Untr"	-4.36483668452003	366
"Untr"	-3.04490835660152	2364
"Untr"	-0.467949030317288	951
"Untr"	-6.34340781639437	291
"Untr"	-8.64024491220429	78
"Untr"	0.794319587192207	4484
"Untr"	-8.21471179555074	1317
"Untr"	-1.38646834708207	1371
"Untr"	-0.0553849032764303	411
"Untr"	-3.37792883201543	5069
"Untr"	-3.90807264814567	497
"Untr"	-6.47644838456657	241
"Untr"	-3.90815556152678	91
"Untr"	-6.15138485050073	87
"Untr"	-4.9087711423311	628
"Untr"	-0.121015400961367	1412
"Untr"	-2.18204191670083	1228
"Untr"	-2.59699273901904	4173
"Untr"	-10.5319012335924	311
"Untr"	-3.42728108413798	1583
"Untr"	-2.4335297536374	4571
"Untr"	-6.98953946417475	162
"Untr"	-10.1535111383858	744
"Untr"	-2.10412051246398	1147
"Untr"	-1.6871236436789	1258
"Untr"	-5.25749621531892	65
"Untr"	-4.41300358090932	567
"Untr"	-2.76385689691133	74
"Untr"	-1.55283974857926	568
"Untr"	-2.33907540150179	3247
"Untr"	-0.451759114404848	2476
"Untr"	-5.12415510440444	283
"Untr"	-3.64148528531198	464
"Untr"	-3.96687074648385	421
"Untr"	0.138242925000017	4183
"Untr"	-5.95624995555257	77
"Untr"	-6.88961258353809	200
"Untr"	-4.17134707446498	130
"Untr"	-4.19866094790288	1483
"Untr"	-6.63986532526313	1179
"Untr"	-7.65068763465619	381
"Untr"	-4.15127793143374	311
"Untr"	-4.00497767174442	3582
"Untr"	-4.75633963317082	141
"Untr"	-8.96269658375156	1373
"Untr"	-5.38904228952496	1015
"Untr"	-3.74741238160132	2571
"Untr"	-1.56954745001326	376
"Untr"	-6.74135734053399	62
