"Sample"	"feature"	"used"
"Full"	"tunnel_lower_neg_charge"	"TRUE"
"Full"	"tunnel_lower_no_charge"	"TRUE"
"Full"	"tunnel_lower_pos_charge"	"TRUE"
"Full"	"tunnel_lower_aromatic"	"TRUE"
"Full"	"tunnel_lower_polar"	"TRUE"
"Full"	"tunnel_lower_nonpolar"	"TRUE"
"Full"	"tunnel_lower_v_hydrophobic"	"TRUE"
"Full"	"tunnel_lower_hydrophobic"	"TRUE"
"Full"	"tunnel_lower_neutral"	"TRUE"
"Full"	"tunnel_lower_hydrophilic"	"TRUE"
"Full"	"tunnel_central_neg_charge"	"TRUE"
"Full"	"tunnel_central_no_charge"	"TRUE"
"Full"	"tunnel_central_pos_charge"	"TRUE"
"Full"	"tunnel_central_aromatic"	"TRUE"
"Full"	"tunnel_central_polar"	"TRUE"
"Full"	"tunnel_central_nonpolar"	"TRUE"
"Full"	"tunnel_central_v_hydrophobic"	"TRUE"
"Full"	"tunnel_central_hydrophobic"	"TRUE"
"Full"	"tunnel_central_neutral"	"TRUE"
"Full"	"tunnel_central_hydrophilic"	"TRUE"
"Full"	"tunnel_constriction_neg_charge"	"TRUE"
"Full"	"tunnel_constriction_no_charge"	"TRUE"
"Full"	"tunnel_constriction_pos_charge"	"TRUE"
"Full"	"tunnel_constriction_aromatic"	"TRUE"
"Full"	"tunnel_constriction_polar"	"TRUE"
"Full"	"tunnel_constriction_nonpolar"	"TRUE"
"Full"	"tunnel_constriction_v_hydrophobic"	"TRUE"
"Full"	"tunnel_constriction_hydrophobic"	"TRUE"
"Full"	"tunnel_constriction_neutral"	"TRUE"
"Full"	"tunnel_constriction_hydrophilic"	"TRUE"
"Full"	"tunnel_upper_neg_charge"	"TRUE"
"Full"	"tunnel_upper_no_charge"	"TRUE"
"Full"	"tunnel_upper_pos_charge"	"TRUE"
"Full"	"tunnel_upper_aromatic"	"TRUE"
"Full"	"tunnel_upper_polar"	"TRUE"
"Full"	"tunnel_upper_nonpolar"	"TRUE"
"Full"	"tunnel_upper_v_hydrophobic"	"TRUE"
"Full"	"tunnel_upper_hydrophobic"	"TRUE"
"Full"	"tunnel_upper_neutral"	"TRUE"
"Full"	"tunnel_upper_hydrophilic"	"TRUE"
"Full"	"aa_m02"	"TRUE"
"Full"	"aa_m01"	"TRUE"
"Full"	"nt_m01"	"TRUE"
"Full"	"nt_m02"	"TRUE"
"Full"	"nt_m03"	"TRUE"
"Full"	"nt_m04"	"TRUE"
"Full"	"nt_m05"	"TRUE"
"Full"	"nt_m06"	"TRUE"
"Full"	"nt_m07"	"TRUE"
"Full"	"nt_m08"	"TRUE"
"Full"	"nt_m09"	"TRUE"
"Full"	"nt_m10"	"TRUE"
"Full"	"nt_m11"	"TRUE"
"Full"	"nt_m12"	"TRUE"
"Full"	"nt_m13"	"TRUE"
"Full"	"nt_m14"	"TRUE"
"Full"	"nt_m15"	"TRUE"
"Full"	"nt_m16"	"TRUE"
"Full"	"nt_m17"	"TRUE"
"Full"	"nt_m18"	"TRUE"
"Full"	"stop_codon"	"TRUE"
"Full"	"nt_p04"	"TRUE"
"Full"	"nt_p05"	"TRUE"
"Full"	"nt_p06"	"TRUE"
"Full"	"nt_p07"	"TRUE"
"Full"	"nt_p08"	"TRUE"
"Full"	"nt_p09"	"TRUE"
"Full"	"nt_p10"	"TRUE"
"Full"	"nt_p11"	"TRUE"
"Full"	"nt_p12"	"TRUE"
"Full"	"nt_p13"	"TRUE"
"Full"	"nt_p14"	"TRUE"
"Full"	"nt_p15"	"TRUE"
"Full"	"nt_p16"	"TRUE"
"Full"	"l_utr3"	"TRUE"
"Full"	"random_factor"	"TRUE"
"Full"	"random_num"	"TRUE"
"Reduced"	"tunnel_lower_neg_charge"	"FALSE"
"Reduced"	"tunnel_lower_no_charge"	"FALSE"
"Reduced"	"tunnel_lower_pos_charge"	"FALSE"
"Reduced"	"tunnel_lower_aromatic"	"FALSE"
"Reduced"	"tunnel_lower_polar"	"FALSE"
"Reduced"	"tunnel_lower_nonpolar"	"FALSE"
"Reduced"	"tunnel_lower_v_hydrophobic"	"FALSE"
"Reduced"	"tunnel_lower_hydrophobic"	"FALSE"
"Reduced"	"tunnel_lower_neutral"	"FALSE"
"Reduced"	"tunnel_lower_hydrophilic"	"FALSE"
"Reduced"	"tunnel_central_neg_charge"	"FALSE"
"Reduced"	"tunnel_central_no_charge"	"FALSE"
"Reduced"	"tunnel_central_pos_charge"	"FALSE"
"Reduced"	"tunnel_central_aromatic"	"FALSE"
"Reduced"	"tunnel_central_polar"	"FALSE"
"Reduced"	"tunnel_central_nonpolar"	"FALSE"
"Reduced"	"tunnel_central_v_hydrophobic"	"FALSE"
"Reduced"	"tunnel_central_hydrophobic"	"FALSE"
"Reduced"	"tunnel_central_neutral"	"FALSE"
