metrics	Model	Treatment	value
NRMSE	Full	Untr	0.131353376198693
NRMSE	Full	Untr	0.11459081166213
NRMSE	Full	Untr	0.13682022178003
NRMSE	Full	Untr	0.127079362629175
NRMSE	Full	Untr	0.123779881979643
NRMSE	Reduced	Untr	0.124101962470707
NRMSE	Reduced	Untr	0.139809311165728
NRMSE	Reduced	Untr	0.127426323734103
NRMSE	Reduced	Untr	0.130866581989794
NRMSE	Reduced	Untr	0.126108685668212
NRMSE	Mock1	Untr	0.134778345983107
NRMSE	Mock1	Untr	0.133337522943788
NRMSE	Mock1	Untr	0.142086145250776
NRMSE	Mock1	Untr	0.121795974547789
NRMSE	Mock1	Untr	0.124745793343745
NRMSE	Mock2	Untr	0.126323595384057
NRMSE	Mock2	Untr	0.130429034326729
NRMSE	Mock2	Untr	0.142831253520757
NRMSE	Mock2	Untr	0.118974411713027
NRMSE	Mock2	Untr	0.124334275829763
NRMSE	Mock3	Untr	0.135498657170017
NRMSE	Mock3	Untr	0.131543224839193
NRMSE	Mock3	Untr	0.140210063776586
NRMSE	Mock3	Untr	0.117715341996548
NRMSE	Mock3	Untr	0.130205765837652
NRMSE	Assay	Untr	0.130838117159448
NRMSE	Assay	Untr	0.128399786715872
NRMSE	Assay	Untr	0.137707890147809
NRMSE	Assay	Untr	0.119078409154443
NRMSE	Assay	Untr	0.123494264097992
NRMSE	Full	G418_500	0.102437124775918
NRMSE	Full	G418_500	0.104038441308863
NRMSE	Full	G418_500	0.103127591083519
NRMSE	Full	G418_500	0.0993287509724889
NRMSE	Full	G418_500	0.1001057318128
NRMSE	Reduced	G418_500	0.0988430499024117
NRMSE	Reduced	G418_500	0.101118924877138
NRMSE	Reduced	G418_500	0.10183556623894
NRMSE	Reduced	G418_500	0.105129158418215
NRMSE	Reduced	G418_500	0.104540822612479
NRMSE	Mock1	G418_500	0.109545416978002
NRMSE	Mock1	G418_500	0.109713754127849
NRMSE	Mock1	G418_500	0.110543161759608
NRMSE	Mock1	G418_500	0.106903504714835
NRMSE	Mock1	G418_500	0.108131689369177
NRMSE	Mock2	G418_500	0.105761751188242
NRMSE	Mock2	G418_500	0.10777836313894
NRMSE	Mock2	G418_500	0.111572480964981
NRMSE	Mock2	G418_500	0.109082353450664
NRMSE	Mock2	G418_500	0.107071824741188
NRMSE	Mock3	G418_500	0.109720854976126
NRMSE	Mock3	G418_500	0.106856995832055
NRMSE	Mock3	G418_500	0.112796200485304
NRMSE	Mock3	G418_500	0.104374760946467
NRMSE	Mock3	G418_500	0.11322253339858
NRMSE	Assay	G418_500	0.103334960338437
NRMSE	Assay	G418_500	0.101034634677196
NRMSE	Assay	G418_500	0.105081457829398
NRMSE	Assay	G418_500	0.106701229796072
NRMSE	Assay	G418_500	0.101652628828979
AUROC	Full	Untr	0.708616780045351
AUROC	Full	Untr	0.6
AUROC	Full	Untr	0.625850340136054
AUROC	Full	Untr	0.769047619047619
AUROC	Full	Untr	0.71
AUROC	Reduced	Untr	0.7025
AUROC	Reduced	Untr	0.5725
AUROC	Reduced	Untr	0.63718820861678
AUROC	Reduced	Untr	0.696428571428571
AUROC	Reduced	Untr	0.598639455782313
AUROC	Mock1	Untr	0.515
AUROC	Mock1	Untr	0.69625
AUROC	Mock1	Untr	0.575963718820862
AUROC	Mock1	Untr	0.602380952380952
AUROC	Mock1	Untr	0.554421768707483
AUROC	Mock2	Untr	0.55875
AUROC	Mock2	Untr	0.6975
AUROC	Mock2	Untr	0.595238095238095
AUROC	Mock2	Untr	0.627380952380952
AUROC	Mock2	Untr	0.604308390022676
AUROC	Mock3	Untr	0.55875
AUROC	Mock3	Untr	0.6975
AUROC	Mock3	Untr	0.595238095238095
AUROC	Mock3	Untr	0.627380952380952
AUROC	Mock3	Untr	0.604308390022676
AUROC	Assay	Untr	0.5275
AUROC	Assay	Untr	0.636904761904762
AUROC	Assay	Untr	0.576190476190476
AUROC	Assay	Untr	0.555555555555555
AUROC	Assay	Untr	0.464285714285714
AUROC	Full	G418_500	0.788530734632684
AUROC	Full	G418_500	0.786056971514243
AUROC	Full	G418_500	0.760367122473246
AUROC	Full	G418_500	0.824475262368816
AUROC	Full	G418_500	0.698052913198573
AUROC	Reduced	G418_500	0.782046476761619
AUROC	Reduced	G418_500	0.778351664684899
AUROC	Reduced	G418_500	0.782458770614693
AUROC	Reduced	G418_500	0.740142428785607
AUROC	Reduced	G418_500	0.792025862068966
AUROC	Mock1	G418_500	0.554647676161919
AUROC	Mock1	G418_500	0.566004497751124
AUROC	Mock1	G418_500	0.529689357907253
AUROC	Mock1	G418_500	0.636731634182909
AUROC	Mock1	G418_500	0.544143876337693
AUROC	Mock2	G418_500	0.57380059970015
AUROC	Mock2	G418_500	0.605975029726516
AUROC	Mock2	G418_500	0.617691154422789
AUROC	Mock2	G418_500	0.630659670164918
AUROC	Mock2	G418_500	0.620392390011891
AUROC	Mock3	G418_500	0.57380059970015
AUROC	Mock3	G418_500	0.605975029726516
AUROC	Mock3	G418_500	0.617691154422789
AUROC	Mock3	G418_500	0.630659670164918
AUROC	Mock3	G418_500	0.620392390011891
AUROC	Assay	G418_500	0.725712143928036
AUROC	Assay	G418_500	0.757171521997622
AUROC	Assay	G418_500	0.724360879904875
AUROC	Assay	G418_500	0.754872563718141
AUROC	Assay	G418_500	0.745352323838081
