metrics	Model	value
NRMSE	Full	0.102437124775918
NRMSE	Full	0.104038441308863
NRMSE	Full	0.103127591083519
NRMSE	Full	0.0993287509724889
NRMSE	Full	0.1001057318128
NRMSE	Reduced	0.0988430499024117
NRMSE	Reduced	0.101118924877138
NRMSE	Reduced	0.10183556623894
NRMSE	Reduced	0.105129158418215
NRMSE	Reduced	0.104540822612479
NRMSE	Mock1	0.109545416978002
NRMSE	Mock1	0.109713754127849
NRMSE	Mock1	0.110543161759608
NRMSE	Mock1	0.106903504714835
NRMSE	Mock1	0.108131689369177
NRMSE	Mock2	0.105761751188242
NRMSE	Mock2	0.10777836313894
NRMSE	Mock2	0.111572480964981
NRMSE	Mock2	0.109082353450664
NRMSE	Mock2	0.107071824741188
NRMSE	Mock3	0.109720854976126
NRMSE	Mock3	0.106856995832055
NRMSE	Mock3	0.112796200485304
NRMSE	Mock3	0.104374760946467
NRMSE	Mock3	0.11322253339858
NRMSE	Assay	0.103334960338437
NRMSE	Assay	0.101034634677196
NRMSE	Assay	0.105081457829398
NRMSE	Assay	0.106701229796072
NRMSE	Assay	0.101652628828979
AUROC	Full	0.788530734632684
AUROC	Full	0.786056971514243
AUROC	Full	0.760367122473246
AUROC	Full	0.824475262368816
AUROC	Full	0.698052913198573
AUROC	Reduced	0.782046476761619
AUROC	Reduced	0.778351664684899
AUROC	Reduced	0.782458770614693
AUROC	Reduced	0.740142428785607
AUROC	Reduced	0.792025862068966
AUROC	Mock1	0.554647676161919
AUROC	Mock1	0.566004497751124
AUROC	Mock1	0.529689357907253
AUROC	Mock1	0.636731634182909
AUROC	Mock1	0.544143876337693
AUROC	Mock2	0.57380059970015
AUROC	Mock2	0.605975029726516
AUROC	Mock2	0.617691154422789
AUROC	Mock2	0.630659670164918
AUROC	Mock2	0.620392390011891
AUROC	Mock3	0.57380059970015
AUROC	Mock3	0.605975029726516
AUROC	Mock3	0.617691154422789
AUROC	Mock3	0.630659670164918
AUROC	Mock3	0.620392390011891
AUROC	Assay	0.725712143928036
AUROC	Assay	0.757171521997622
AUROC	Assay	0.724360879904875
AUROC	Assay	0.754872563718141
AUROC	Assay	0.745352323838081
